token,frequency,length
contemnd,1,8
uneven,1,6
day,37,3
bend,2,4
unkind,1,6
post,2,4
ajax,5,4
mattl,1,5
strict,1,6
cuttanc,1,7
cut,2,3
fellow,17,6
said,10,4
found,6,5
lordship,5,8
hope,17,4
mark,14,4
antoni,18,6
done,16,4
sose,1,4
minut,4,5
ingrat,1,6
brook,1,5
marcellu,1,8
tell,28,4
break,18,5
hear,22,4
shore,2,5
sir,67,3
must,39,4
run,9,3
put,10,3
happi,7,5
judgment,7,8
fort,3,4
wretch,1,6
qualiti,1,7
togeth,12,6
demetriu,2,8
come,59,4
wreck,1,5
aumerl,2,6
valiant,10,7
world,17,5
fear,15,4
caus,13,4
brist,1,5
sorri,2,5
behold,4,6
friend,23,6
threw,1,5
boy,16,3
idar,1,4
willoughbi,1,10
wouldst,4,7
gower,1,5
leav,10,4
along,2,5
capulet,2,7
pen,1,3
meed,2,4
troubl,1,6
provid,4,6
breast,4,6
use,9,3
behind,7,6
old,10,3
begin,6,5
citi,8,4
case,4,4
held,1,4
valentin,6,8
state,6,5
never,17,5
falln,2,5
caesar,15,6
murder,15,6
virtuou,4,7
scotland,1,8
chamber,8,7
shepherd,5,8
norfolk,9,7
sweet,14,5
brother,15,7
helena,2,6
entreat,6,7
rutland,2,7
beauti,8,6
seagood,1,7
wife,14,4
sinc,13,4
one,34,3
robbd,1,5
bull,1,4
tonight,6,7
guard,4,5
conist,1,6
faction,1,7
bassanio,3,8
friar,1,5
farewel,5,7
knew,3,4
bloodi,15,6
thereof,2,7
undo,2,4
sigh,4,4
empti,1,5
thersitania,1,11
kill,5,4
solemn,4,6
beseech,3,7
pleas,7,5
two,15,3
countess,4,8
master,19,6
potent,2,6
ancient,1,7
face,16,4
came,12,4
set,10,3
brookgast,1,9
thyself,4,7
eat,9,3
excel,5,5
time,23,4
malvolio,9,8
john,19,4
fair,29,4
emilia,6,6
still,8,5
eer,1,3
differ,2,6
fought,4,6
line,3,4
bearst,1,6
ten,1,3
god,10,3
proud,8,5
wemper,1,6
glendow,1,7
thine,12,5
best,6,4
though,15,6
construct,1,9
swift,2,5
mother,10,6
woman,11,5
amen,2,4
gold,12,4
peerl,1,5
luciu,4,5
ti,25,2
loyal,3,5
soul,15,4
free,3,4
demur,1,5
youth,8,5
chain,3,5
slew,2,4
vision,1,6
cleopatra,11,9
fight,5,5
madam,7,5
falstaff,8,8
she,7,3
fall,14,4
dullar,1,6
fault,8,5
ask,3,3
guilti,5,6
place,10,5
ford,3,4
confess,4,7
chid,3,4
fame,1,4
deliber,1,7
host,3,4
per,2,3
babbl,1,5
bed,9,3
unrunish,1,8
storm,1,5
slire,1,5
seem,15,4
england,5,7
rest,5,4
pari,4,4
cassio,2,6
celia,2,5
effect,4,6
alik,1,4
open,5,4
back,11,4
prithe,6,6
brutu,21,5
count,1,5
rais,1,4
lay,8,3
peac,17,4
coriolanu,8,9
ripe,1,4
might,15,5
stayd,6,5
met,4,3
triumphant,1,10
cousin,7,6
whose,19,5
parti,6,5
bodi,8,4
discharg,2,8
glumber,1,7
perfect,2,7
tower,4,5
octaviu,6,7
tame,2,4
balthasar,1,9
gave,2,4
high,8,4
spirit,11,6
plant,2,5
flive,1,5
son,18,3
even,19,4
conusteri,1,9
grave,3,5
ship,3,4
neer,4,4
humphrey,2,8
dear,6,4
hospish,1,7
shameless,1,9
frozen,1,6
pride,4,5
light,5,5
plot,2,4
lege,2,4
glim,1,4
argument,1,8
mouth,8,5
estim,1,5
fit,6,3
v,6,1
gost,1,4
unhappi,3,7
woe,4,3
duchess,5,7
nay,7,3
throw,4,5
othello,4,7
morrow,4,6
cressida,7,8
stop,3,4
street,3,6
follow,10,6
scrupl,1,6
weddingbodi,1,11
touchest,1,8
henceforward,1,12
submiss,1,7
truth,3,5
throne,3,6
life,23,4
mockd,1,5
untold,1,6
attor,1,5
sack,1,4
lop,1,3
shrum,1,5
preserv,2,7
brimfib,1,7
voic,3,4
earli,2,5
macbeth,9,7
withdraw,2,8
debour,1,6
branch,3,6
prevaild,1,8
penni,2,5
merri,3,5
exploit,1,7
fool,8,4
vein,4,4
bell,2,4
beseem,4,6
canst,2,5
lend,1,4
banquo,2,6
wonder,6,6
maletr,1,6
torch,1,5
kingdom,11,7
rogu,1,4
condemnd,2,8
dare,6,4
bound,3,5
quit,2,4
child,10,5
buy,2,3
nobl,16,4
occas,2,5
impud,1,5
without,18,7
suitor,1,6
load,1,4
sign,2,4
show,12,4
anger,2,5
whilst,4,6
present,14,7
continu,1,7
gate,3,4
justic,3,6
enemi,9,5
siciniu,4,7
french,2,6
letter,7,6
inde,8,4
highest,1,7
prais,12,5
unvil,1,5
ground,15,6
likey,1,5
elizabeth,1,9
choke,3,5
while,5,5
fanni,1,5
littl,12,5
lightli,1,7
read,4,4
wellmet,1,7
blind,4,5
damn,1,4
bond,3,4
citizen,6,7
first,30,5
remov,1,5
loath,2,5
amazedgo,1,8
marshal,1,7
vile,6,4
hast,23,4
nake,1,4
star,5,4
offerd,1,6
bone,1,4
silent,2,6
trifl,3,5
unquiet,1,7
rise,1,4
knowst,1,6
bring,11,5
sleep,6,5
wit,4,3
conceit,3,7
diom,1,4
low,1,3
hecuba,1,6
oath,3,4
defend,5,6
shouldst,4,8
troth,5,5
drunk,4,5
welcom,6,6
unless,4,6
seemeth,1,7
tabl,2,4
hubert,1,6
obedi,1,5
claughterd,1,10
safeti,3,6
report,5,6
told,5,4
distract,2,8
prospero,1,8
aenea,2,5
traitor,3,7
hector,2,6
hatch,1,5
civil,2,5
stone,3,5
wonderd,1,7
point,8,5
news,3,4
et,3,2
dolour,1,6
lieg,2,4
princ,15,5
content,3,7
cold,5,4
measur,5,6
manag,2,5
gloriou,3,7
charg,7,5
asleep,1,6
mercutio,3,8
regreet,1,7
tribun,2,6
suffoc,1,6
third,8,5
northumberland,1,14
royal,6,5
inserv,1,6
sun,3,3
soonman,1,7
famish,1,6
nurs,6,4
beat,3,4
purpos,9,6
passag,1,6
sweetest,1,8
knight,2,6
huntr,1,5
feebl,2,5
subdu,3,5
titl,6,4
walk,5,4
swearst,1,7
vincentio,9,9
rust,2,4
trazard,1,7
glad,5,4
shine,2,5
book,4,4
saw,9,3
em,3,2
pipe,1,4
smock,1,5
performd,4,8
joind,1,5
unto,5,4
nove,1,4
wing,2,4
recreantli,1,10
field,6,5
wound,6,5
head,21,4
give,33,4
recompens,1,9
els,6,3
resolv,2,6
lieuten,1,7
fare,2,4
pistol,5,6
strumpet,3,8
untot,1,5
philomeliu,1,10
garland,1,7
stock,4,5
peopl,7,5
want,2,4
sight,11,5
reveng,6,6
mean,8,4
play,6,4
kind,6,4
who,4,3
prey,1,4
shoulder,2,8
soldier,8,7
philip,5,6
subject,4,7
laughman,1,8
crown,5,5
thinkest,1,8
showledg,1,8
month,1,5
better,9,6
he,12,2
dog,2,3
beach,1,5
courtier,3,8
cail,1,4
privi,1,5
thing,17,5
leader,1,6
offer,6,5
stoop,1,5
wait,3,4
dispit,1,6
indiffer,1,8
dost,8,4
sting,1,5
household,3,9
bolderd,1,7
cover,1,5
offenc,4,6
peer,7,4
packet,1,6
mind,6,4
lawyer,1,6
flatterd,1,8
noblest,1,7
send,3,4
dagger,1,6
govern,1,6
passion,5,7
portent,1,7
feed,6,4
tri,2,3
quick,2,5
wish,5,4
palm,1,4
anoth,12,5
three,10,5
circumst,3,8
imogen,3,6
romeo,5,5
strike,2,6
iago,7,4
mirror,1,6
call,19,4
lip,1,3
law,3,3
arm,17,3
wherefor,6,8
heaven,21,6
bohemia,1,7
antonio,5,7
lose,9,4
earthli,1,7
rather,10,6
armi,9,4
reput,1,5
tobi,2,4
belch,2,5
sirrah,6,6
blame,3,5
paish,1,5
adder,1,5
hither,3,6
rosalind,7,8
gentl,7,5
seen,7,4
worthi,2,6
execut,5,6
piec,4,4
angri,3,5
vassal,1,6
crimon,1,6
ho,2,2
four,2,4
terribl,1,7
night,7,5
went,2,4
languag,5,7
believ,4,6
power,14,5
debtor,1,6
stroke,4,6
hunter,1,6
frower,1,6
yesterday,1,9
fals,4,4
disclos,2,7
feast,4,5
made,17,4
ensu,2,4
london,2,6
lusti,2,5
rax,1,3
rome,7,4
warwick,5,7
yare,1,4
expens,1,6
right,8,5
beguil,3,6
toil,1,4
sacr,3,4
devil,2,5
possessd,4,8
moder,1,5
fantasi,1,7
tranio,3,6
therefor,22,8
conveni,1,7
joy,7,3
gallant,6,7
infant,2,6
sea,8,3
firm,1,4
wind,6,4
physic,1,6
pantion,1,7
rang,1,4
realm,3,5
dug,1,3
repent,2,6
thank,3,5
abat,3,4
malic,1,5
teach,3,5
heavier,1,7
fate,1,4
hair,3,4
kiss,5,4
meat,1,4
seven,1,5
blow,2,4
turn,11,4
virtu,3,5
ye,7,2
melt,3,4
leg,5,3
contract,2,8
beer,1,4
aim,3,3
suppos,1,6
isabella,2,8
warrior,2,7
sway,2,4
hugh,4,4
evan,4,4
helen,3,5
hermia,1,6
welldiscret,1,11
oer,3,3
discredit,2,9
adriano,1,7
de,1,2
armado,1,6
what,3,4
matter,3,6
theseu,1,6
wash,2,4
there,15,5
conduct,3,7
horn,1,4
hostess,2,7
proper,2,6
countri,3,7
cure,2,4
saint,4,5
beggar,5,6
besid,2,5
gainst,4,6
whoreson,1,8
saturnin,2,8
bark,1,4
tew,1,3
titu,5,4
margaret,10,8
none,8,4
rough,1,5
pirat,2,5
rich,5,4
that,8,4
pictur,1,6
mood,2,4
polici,1,6
wert,2,4
hale,1,4
deadli,2,6
shallow,6,7
deliverd,1,8
moon,2,4
fortun,13,6
messeng,4,7
ay,18,2
base,8,4
swain,1,5
wed,1,3
loss,7,4
votenard,1,8
lodg,3,4
clown,5,5
clock,2,5
patch,2,5
unlov,2,5
schoolmast,2,10
brutish,1,7
nought,2,6
conceiv,1,7
custom,2,6
andronicu,5,9
foot,6,4
string,1,6
dip,1,3
secret,2,6
murmur,1,6
canopi,1,6
discoveri,1,9
didst,4,5
remuner,1,7
hamlet,3,6
strangeday,1,10
meant,1,5
pound,1,5
followd,3,7
tomb,1,4
servant,7,7
hurt,1,4
henc,5,4
crime,1,5
invit,1,5
bare,2,4
special,1,7
fresh,3,5
fableservic,1,11
lock,1,4
aufidiu,1,7
downlight,1,9
inct,1,4
confus,1,6
help,5,4
awhil,5,5
scorn,3,5
fled,3,4
chin,1,4
athallot,1,8
vessel,1,6
unwel,1,5
kept,2,4
enfract,1,7
captiv,1,6
exhibit,2,7
habit,2,5
jealous,1,7
christend,1,9
baptista,1,8
excus,3,5
rememb,3,6
mistress,8,8
ann,10,3
page,11,4
needst,2,6
suppli,1,6
commiss,1,7
bounti,2,6
soothsay,1,8
fer,1,3
horatio,5,7
shippu,1,6
yut,1,3
fast,3,4
est,1,3
twice,2,5
blood,7,5
fepher,1,6
panish,1,6
pretti,1,6
bedford,1,7
porrest,1,7
grecian,1,7
song,5,4
outsag,1,6
titanu,1,6
goodli,6,6
interpret,1,9
leonato,3,7
control,1,7
comfort,2,7
audient,1,7
varlet,2,6
disord,1,6
neither,3,7
sent,2,4
sharp,1,5
care,5,4
milan,1,5
list,1,4
glori,2,5
cost,3,4
slave,2,5
raf,1,3
weepd,1,5
exet,1,4
highdanger,1,10
monster,1,7
scape,1,5
seepant,1,7
hold,13,4
varron,1,6
cri,6,3
could,22,5
renish,1,6
sever,7,5
shadow,6,6
affair,3,6
write,6,5
drive,2,5
eyeless,1,7
toe,2,3
proclam,1,7
trup,1,4
shalt,4,5
patroclu,1,8
speed,7,5
whither,4,7
confid,2,6
game,1,4
weep,4,4
red,1,3
digniti,2,7
slip,1,4
familiar,2,8
remembr,2,7
crept,1,5
ancestor,2,8
perdita,1,7
wall,4,4
majesti,5,7
contemptu,1,9
twill,3,5
banquet,2,7
altwing,1,7
clamor,1,6
tediou,2,6
profess,3,7
mani,13,4
dissembl,1,8
horribl,2,7
assum,1,5
meneniu,3,7
threaten,4,8
mortal,1,6
deserv,3,6
shoe,1,4
sailor,1,6
delic,1,5
profit,2,6
motion,4,6
claudio,6,7
slender,2,7
dinner,3,6
audit,1,5
reliev,1,6
torcher,1,7
gain,2,4
took,6,4
maiden,3,6
bondmaid,1,8
mould,2,5
pay,4,3
mamber,1,6
conspir,2,7
ope,1,3
coward,1,6
cast,3,4
rape,1,4
vouchsaf,3,8
signior,1,7
benedick,2,8
coron,1,5
carriag,1,7
modesti,2,7
amaz,2,4
wholesom,1,8
conjectur,1,9
graciou,3,7
selfbeheld,1,10
evil,2,4
befalln,1,7
wors,2,4
horseman,1,8
soft,3,4
reverend,1,8
portial,1,7
opinion,4,7
earl,5,4
wick,2,4
chimney,1,7
seat,4,4
smoke,1,5
steep,1,5
bolingbrok,3,10
goodman,1,7
estat,2,5
distrust,1,8
sovereign,5,9
banishd,2,7
william,1,7
motiv,1,5
mountain,5,8
chair,2,5
bulli,1,5
twain,1,5
orb,1,3
practis,6,7
melodi,1,6
gilt,1,4
compound,1,8
door,2,4
hangd,2,5
ophelia,3,7
mischief,3,8
piti,5,4
bought,1,6
angelo,7,6
youll,4,5
senat,5,5
entertain,7,9
seemd,1,5
spoke,2,5
troilu,10,6
peasantli,1,9
tent,4,4
hurri,1,5
ruudership,1,10
napkin,1,6
oberon,1,6
twenti,3,6
shake,4,5
drop,4,4
jealousi,1,8
importunit,1,10
someth,6,6
blushd,1,6
monour,1,6
perdut,1,6
fement,1,6
extempor,1,8
live,10,4
brief,1,5
fire,7,4
tend,2,4
particular,1,10
due,2,3
merci,4,5
remain,2,6
gaunt,2,5
rid,1,3
haild,1,5
dispos,1,6
mile,1,4
worth,2,5
compexar,1,8
fli,4,3
fermin,1,6
lie,14,3
higher,1,6
request,3,7
appear,8,6
voicehi,1,7
shylock,1,7
bisk,1,4
drink,4,5
nhambl,1,6
fanci,3,5
dimmd,1,5
phoetician,1,10
person,4,6
ambassador,3,10
rage,2,4
darest,2,6
end,6,3
earnest,2,7
aid,1,3
obsurd,1,6
duti,4,4
propos,2,6
milk,1,4
discours,3,8
fie,3,3
sleepi,1,6
wanton,3,6
air,7,3
walrer,1,6
bianca,1,6
embol,1,5
war,9,3
birth,2,5
accord,1,6
advantag,3,8
hoist,1,5
gun,1,3
drame,1,5
knave,4,5
prayd,1,5
drift,1,5
sebastian,2,9
patient,3,7
stand,13,5
varro,1,5
chaft,1,5
hang,4,4
provost,4,7
propar,1,6
pitch,1,5
prefer,1,6
tale,3,4
surveyor,1,8
throat,1,6
long,7,4
outscorn,1,8
fashion,1,7
icfortun,1,8
worst,2,5
consum,1,6
adversaryday,1,12
chang,4,5
oak,2,3
wooer,1,5
bag,1,3
miseri,1,6
fraught,1,7
beatric,4,7
dostard,1,7
caiu,4,4
boatswain,1,9
penalti,2,7
extrem,3,6
hip,1,3
awoment,1,7
colour,2,6
ingeni,2,6
river,1,5
hors,6,4
ride,1,4
sad,5,3
scourg,1,6
singular,1,8
gageou,1,6
suffer,5,6
seeth,1,5
ala,6,3
tree,2,4
hung,2,4
shrift,1,6
court,8,5
restor,1,6
anon,1,4
futur,1,5
depend,2,6
side,2,4
ireland,1,7
prove,11,5
stolen,1,6
innoc,3,5
roman,2,5
crete,1,5
tear,2,4
deliv,6,5
ear,8,3
holi,3,4
uncl,3,4
english,5,7
descript,2,8
perpressd,1,9
tomorrow,4,8
desdemona,2,9
draw,3,4
last,5,4
watch,3,5
seiz,2,4
permit,1,6
chamberlain,1,11
bastard,3,7
beyond,3,6
volscian,2,8
pursu,3,5
birmd,1,5
confer,1,6
new,5,3
soeth,1,5
voman,1,5
steal,4,5
petruchio,4,9
discret,1,7
marriag,5,7
boyet,1,5
gone,14,4
longer,3,6
weighti,1,7
emiti,1,5
beard,2,5
jollofid,1,8
flint,2,5
confin,2,6
spake,2,5
whole,2,5
strain,2,6
becom,3,5
teeth,2,5
answer,6,6
murderd,1,7
water,2,5
bold,1,4
servingman,6,10
edgar,4,5
sound,3,5
absenc,3,6
lichard,1,7
cinna,2,5
gait,1,4
cleft,1,5
longest,2,7
misbeliev,1,9
frond,1,5
pillow,1,6
sing,3,4
crimson,1,7
affright,2,8
ainel,1,5
doublet,2,7
proceed,2,7
dauphin,1,7
away,5,4
henceforth,2,10
sweeter,1,7
dougla,3,6
sweat,1,5
quickli,4,7
conquer,3,7
parliament,2,10
mad,4,3
learn,3,5
tune,1,4
brain,3,5
clifford,2,8
short,4,5
disdain,1,7
countryman,1,10
napl,2,4
eed,1,3
marcu,2,5
get,3,3
shame,4,5
vi,1,2
rosalin,2,7
leawer,1,6
behavior,2,8
tide,3,4
ild,1,3
known,6,5
fown,1,4
today,5,5
surviv,1,6
soon,1,4
guil,1,4
handl,1,5
oswald,2,6
wrongd,1,6
phulish,1,7
serv,4,4
dream,5,5
cur,4,3
late,4,4
bruis,1,5
perform,4,7
weighd,1,6
appir,1,5
yield,2,5
cloud,1,5
contru,1,6
dispositiond,1,12
wisdom,2,6
instrument,2,10
claim,1,5
savag,1,5
leman,1,5
ha,6,2
iii,3,3
minist,1,6
address,2,7
precis,1,6
style,1,5
whether,1,7
dunghil,1,7
elder,2,5
viola,2,5
errand,1,6
past,5,4
abus,3,4
choic,2,5
prosper,1,7
cort,1,4
deputi,3,6
alarum,1,6
slaver,1,6
meet,5,4
next,2,4
ran,1,3
honesti,2,7
upid,1,4
chiron,1,6
stir,3,4
coin,1,4
orsino,1,6
corrupt,2,7
station,1,7
void,2,4
drawn,1,5
poison,4,6
friendship,1,10
truft,1,5
succeed,2,7
issu,2,4
bestow,1,6
stuff,1,5
medicin,1,7
diomed,1,6
deep,4,4
gage,1,4
deboth,1,6
pice,1,4
apparit,1,7
spoil,1,5
bick,1,4
certain,3,7
smile,5,5
hour,8,4
round,1,5
bitter,2,6
often,3,5
abject,1,6
publicli,1,8
cardin,2,6
ip,1,2
enam,1,4
babe,1,4
mettl,1,5
durish,1,6
obeyd,1,5
undernear,1,9
tot,3,3
poet,2,4
messag,1,6
todi,1,4
perhap,1,6
sometim,4,7
undergoss,1,9
induc,2,5
hero,3,4
wleth,1,5
solon,1,5
crownheart,1,10
happier,1,7
heel,3,4
drunken,1,7
space,2,5
shrill,1,6
bad,3,3
rank,4,4
falcon,1,6
german,1,6
decre,2,5
clap,1,4
protest,1,7
nobli,1,5
thunder,1,7
wale,1,4
befal,1,5
nuptial,1,7
joan,1,4
la,1,2
pucel,1,5
womb,1,4
disabl,1,6
taperboard,1,10
affect,5,6
chose,1,5
money,2,5
conslip,1,7
begot,1,5
flight,1,6
linger,1,6
drug,1,4
disprezag,1,9
rude,2,4
mischanc,1,8
spleen,1,6
drum,2,4
afre,1,4
proteu,1,6
enrag,1,5
argo,1,4
labour,2,6
direct,1,6
widow,3,5
confirm,1,7
disposit,1,8
mighti,4,6
eslac,1,5
offic,6,5
heavi,4,5
catch,2,5
philou,1,6
wayward,1,7
withal,2,6
vineyard,1,8
raffet,1,6
ad,2,2
sport,6,5
cambrak,1,7
thrumbl,1,7
binnam,1,6
snay,1,4
nether,1,6
condemn,1,7
compani,3,7
demand,1,6
approach,1,8
fell,3,4
warrant,6,7
wilt,6,4
inkli,1,5
obey,1,4
age,7,3
jester,1,6
sunday,1,6
banish,4,6
lovel,2,5
bawd,3,4
thind,1,5
brightli,1,8
consign,1,7
alcibiad,1,8
seldom,1,6
gather,2,6
wrought,3,7
drows,1,5
lysand,1,6
portia,1,6
ennear,1,6
disjack,1,7
slow,2,4
flower,4,6
pisanio,2,7
doubt,4,5
scrand,1,6
sake,3,4
need,7,4
hill,2,4
glove,2,5
unfold,1,6
porter,1,6
robin,1,5
beget,2,5
fenc,2,4
unstayd,1,7
forlorn,1,7
counten,1,7
revolt,3,6
morn,1,4
rag,1,3
mutini,1,6
salanio,1,7
order,3,5
manner,2,6
staff,1,5
untid,1,5
stood,2,5
shrieti,1,7
lucio,1,5
dionyza,1,7
harm,2,4
luciana,1,7
shell,1,5
templ,3,5
fill,1,4
tardi,1,5
daylight,1,8
dearest,2,7
id,1,2
injuri,3,6
assur,2,5
rue,1,3
wheat,2,5
stain,2,5
nois,1,4
draught,1,7
cheek,3,5
gambon,1,6
throic,1,6
cloten,1,6
knowledg,1,8
apemantu,1,8
edward,2,6
stem,1,4
kinder,1,6
killst,1,6
trembl,1,6
privileg,1,8
creatur,4,7
plain,1,5
romeri,1,6
doe,1,3
breastbold,1,10
flatter,2,7
esembl,1,6
myill,1,5
oclock,1,6
sensual,1,7
easi,1,4
search,1,6
gloss,1,5
leaven,1,6
followo,1,7
clother,1,7
leisur,2,6
resolut,1,7
beggd,4,5
seaday,1,6
undoublet,1,9
liest,1,5
wot,1,3
faint,2,5
volum,2,5
devic,1,5
parent,1,6
fastst,1,6
meaner,1,6
obtain,1,6
forswear,3,8
brow,6,4
hive,1,4
remedi,2,6
advers,1,6
albani,4,6
pandaru,3,7
close,3,5
trumpet,5,7
grow,3,4
medri,1,5
milford,1,7
undon,1,5
sold,1,4
thenc,2,5
move,4,4
fierc,2,5
vineg,1,5
wink,1,4
impeopl,1,7
orderli,1,7
wellblack,1,9
contempl,1,8
mock,1,4
prepar,4,6
chanc,2,5
emblac,1,6
accept,1,6
herbl,1,5
tritor,1,6
begun,1,5
colder,1,6
knit,1,4
studi,2,5
perishd,1,7
ravenshead,1,10
volumnia,2,8
action,6,6
fluellen,2,8
conclud,1,7
straind,1,7
selld,1,5
commend,3,7
curs,2,4
sleap,1,5
diseas,2,6
everthrow,1,9
bid,5,3
volscou,1,7
cronk,1,5
consent,4,7
directli,1,8
comest,1,6
promis,5,6
favour,2,6
writ,1,4
tuke,1,4
cherubidl,1,9
satisfi,2,7
thrifti,1,7
idol,1,4
whosor,1,6
writer,1,6
baser,1,5
thorn,2,5
wood,1,4
arous,1,5
deathliv,1,8
foolish,3,7
envi,3,4
arrayd,1,6
constort,1,8
triumph,1,7
camp,1,4
aboand,1,6
consont,1,7
steel,3,5
ctediou,1,7
angel,1,5
compict,1,7
prate,1,5
barbar,2,6
humour,2,6
liberti,2,7
embrac,1,6
separ,1,5
heag,1,4
fiend,1,5
sfellow,1,7
timewrit,1,8
noth,6,4
determin,2,8
ax,1,2
fish,1,4
bald,2,4
olland,1,6
lustr,3,5
annoy,1,5
luen,1,4
doctor,4,6
blast,1,5
phrase,1,6
lobe,1,4
stabbd,1,6
plainli,1,7
black,3,5
richest,1,7
gift,1,4
given,3,5
mornal,1,6
restrain,3,8
begottingo,1,10
finish,1,6
choos,1,5
neighbour,1,9
young,6,5
warn,1,4
crest,1,5
esteem,1,6
doubl,2,5
gaze,1,4
answerd,1,7
dedic,1,5
likewis,1,7
orlando,1,7
basi,1,4
puck,2,4
battl,2,5
polixen,1,7
hud,1,3
hell,6,4
win,1,3
vengeanc,2,8
curser,1,6
tip,1,3
gallantli,1,9
alon,6,4
betim,1,5
counsel,2,7
alway,1,5
sportifi,1,8
sank,1,4
pisa,2,4
wull,1,4
home,3,4
sternli,1,7
toild,1,5
tush,1,4
sonend,1,6
welkin,1,6
visag,1,5
amiti,1,5
dri,2,3
pageant,2,7
tarsu,1,5
ender,1,5
coat,2,4
copili,1,6
dolabella,1,9
urg,1,3
arder,1,5
accus,1,5
trash,1,5
wither,2,6
peter,1,5
blest,1,5
forfirm,1,7
theme,1,5
launc,1,5
yould,1,5
middl,1,5
falsehood,2,9
iter,1,4
wild,1,4
white,1,5
cybbelin,1,8
suffolk,4,7
sooner,4,6
knoplesoldi,1,11
step,1,4
sin,1,3
coupl,1,5
unrock,1,6
bondmack,1,8
filth,1,5
arriv,1,5
killd,2,5
toosuffolk,1,10
sockcriff,1,9
doubtless,1,9
ungrac,1,6
dish,3,4
pear,1,4
bedright,1,8
invent,1,6
heavenli,2,8
helf,1,4
witch,1,5
monder,1,6
asham,1,5
stubborn,1,8
tox,1,3
friendli,2,8
frame,1,5
impetit,1,7
unsam,1,5
lost,5,4
washd,1,5
gie,1,3
ventidiu,2,8
unliv,1,5
addit,1,5
chase,1,5
lift,3,4
misl,1,4
suffic,1,6
equiniu,1,7
escalu,2,6
newhous,1,7
wilder,1,6
thersit,1,7
trinculo,3,8
foreign,1,7
infus,1,5
gadshil,1,7
melancholi,1,10
wolsey,1,6
kindr,1,5
substanc,3,8
parol,1,5
courtesi,2,8
treason,2,7
shrung,1,6
burnt,1,5
except,2,6
unground,1,8
alban,1,5
aspect,1,6
near,2,4
rain,1,4
half,6,4
belli,2,5
amor,1,4
ane,1,3
